book,gender,name,book_year,type
The Big Four,woman,Miss Monro,1927,victim
The Mystery of the Blue Train,woman,Ruth Kettering,1928,victim
Peril at End House,woman,Maggie,1931,victim
Lord Edgware Dies,man,Lord Edgware,1933,victim
Lord Edgware Dies,man,Donald Ross,1933,victim
Lord Edgware Dies,woman,Carlotta Adams,1933,victim
Murder on the Orient Express,man,Ratchett/Cassetti,1934,victim
Three Act Tragedy,man,Reverend Babbington,1934,victim
Three Act Tragedy,man,Dr Strange,1934,victim
Three Act Tragedy,woman,Mrs De Rushbridger,1934,victim
Death in The Clouds,woman,Madame Giselle ,1935,victim
Murder in Mesopotamia,woman,Louise Leidner,1935,victim
Murder in Mesopotamia,woman,Miss Johnson,1935,victim
The ABC Murders,woman,Alice Ascher,1936,victim
The ABC Murders,woman,Betty Barnard,1936,victim
The ABC Murders,man,Sir Carmichael Clarke,1936,victim
Cards on the Table,man,Mr Shaitana,1936,victim
Cards on the Table,woman,Mrs Lorrimer,1936,victim
Cards on the Table,woman,Anne,1936,victim
Dumb Witness,woman,Emily Arundell,1937,victim
Death on the Nile,woman,Linnet Doyle,1937,victim
Death on the Nile,woman,Louise,1937,victim
Death on the Nile,woman,Mrs Otterbourne,1937,victim
Appointment with Death,woman,Mrs Boynton,1937,victim
Hercule Poirot's Christmas,man,Simeon Lee,1938,victim
Sad Cypress,woman,Laura Welman,1940,victim
Sad Cypress,woman,Mary Gerrard,1940,victim
Evil Under the Sun,man,Henry Morley,1940,victim
"One, Two, Buckle my Shoe",woman,Nameless,1940,victim
Five Little Pigs,man,Amyas Crale,1941,victim
The Hollow,man,John Christow,1946,victim
Taken at the Flood,man,Enoch Arden,1948,victim
Mrs McGinty's Dead,woman,Mrs McGinty,1952,victim
After the Funeral,man,Richard Abernethie,1953,victim
Hickory Dickory Dock,woman,Celia Austin,1955,victim
Dead Man's Folly,woman,Marlene Tucker,1956,victim
Cat Among the Pigeons,woman,Miss Springer,1959,victim
Cat Among the Pigeons,woman,Miss Vansittart,1959,victim
The Clocks,man,Merlina Rival,1963,victim
The Clocks,woman,Nameless dead man,1963,victim
Third Girl,man,David Baker,1966,victim
Hallowe'en Party,woman,Joyce Reynolds,1969,victim
Elephants can Remember,woman,Mrs Ravenscroft,1972,victim
Curtain,man,Stephen Norton,1975,victim
